Codmundv_A;nomemun_A;Codmundv_B;nomemun_B;VAR01;VAR02;VAR03;VAR04
3304557;Rio de Janeiro;3550308;São Paulo;2422;4582;7004;355
3550308;São Paulo;4314902;Porto Alegre;742;2240;2982;827
3550308;São Paulo;5300108;Brasília;683;2022;2705;879
3509502;Campinas;3550308;São Paulo;978;1458;2436;93
3106200;Belo Horizonte;3550308;São Paulo;814;1466;2280;495
3505708;Barueri;3550308;São Paulo;770;1492;2262;28
3550308;São Paulo;4106902;Curitiba;863;1371;2234;330
3534401;Osasco;3550308;São Paulo;549;1427;1976;19
3518800;Guarulhos;3550308;São Paulo;820;1103;1923;26
3548708;São Bernardo do Campo;3550308;São Paulo;561;952;1513;10
3548500;Santos;3550308;São Paulo;591;777;1368;41
3547809;Santo André;3550308;São Paulo;530;794;1324;12
2927408;Salvador;3550308;São Paulo;483;819;1302;1430
3106200;Belo Horizonte;3118601;Contagem;490;682;1172;11
2611606;Recife;3550308;São Paulo;469;691;1160;2066
3304557;Rio de Janeiro;5300108;Brasília;258;863;1121;934
3548807;São Caetano do Sul;3550308;São Paulo;386;702;1088;10
3543402;Ribeirão Preto;3550308;São Paulo;429;599;1028;300
3303302;Niterói;3304557;Rio de Janeiro;399;607;1006;17
3106200;Belo Horizonte;3304557;Rio de Janeiro;350;579;929;338
3549904;São José dos Campos;3550308;São Paulo;370;553;923;93
3550308;São Paulo;5208707;Goiânia;359;557;916;822
1302603;Manaus;3550308;São Paulo;370;520;890;2619
2304400;Fortaleza;3550308;São Paulo;337;532;869;2337
3301702;Duque de Caxias;3304557;Rio de Janeiro;335;519;854;14
5208707;Goiânia;5300108;Brasília;282;504;786;176
3547304;Santana de Parnaíba;3550308;São Paulo;372;413;785;36
3525904;Jundiaí;3550308;São Paulo;277;458;735;58
5201405;Aparecida de Goiânia;5208707;Goiânia;309;420;729;13
3550308;São Paulo;3552205;Sorocaba;289;420;709;89
3304557;Rio de Janeiro;3505708;Barueri;204;499;703;375
3304557;Rio de Janeiro;4314902;Porto Alegre;195;490;685;1087
2607901;Jaboatão dos Guararapes;2611606;Recife;281;402;683;11
4304606;Canoas;4314902;Porto Alegre;281;401;682;16
2919207;Lauro de Freitas;2927408;Salvador;293;385;678;20
4205407;Florianópolis;4216602;São José;305;362;667;17
4106902;Curitiba;4125506;São José dos Pinhais;293;342;635;16
2927408;Salvador;3304557;Rio de Janeiro;243;390;633;1194
3549805;São José do Rio Preto;3550308;São Paulo;270;360;630;418
3513009;Cotia;3550308;São Paulo;263;356;619;28
3205309;Vitória;3550308;São Paulo;264;341;605;742
4106902;Curitiba;4314902;Porto Alegre;218;357;575;543
3205200;Vila Velha;3205309;Vitória;240;328;568;12
4305108;Caxias do Sul;4314902;Porto Alegre;251;314;565;99
3550308;São Paulo;5002704;Campo Grande;240;322;562;917
3550308;São Paulo;4113700;Londrina;221;340;561;463
3550308;São Paulo;4205407;Florianópolis;231;296;527;473
3550308;São Paulo;4208203;Itajaí;253;272;525;418
3506003;Bauru;3550308;São Paulo;233;284;517;286
3513801;Diadema;3550308;São Paulo;220;289;509;5
3304557;Rio de Janeiro;4106902;Curitiba;190;312;502;664
3302403;Macaé;3304557;Rio de Janeiro;217;283;500;151
3530607;Moji das Cruzes;3550308;São Paulo;216;283;499;48
3304557;Rio de Janeiro;3305109;São João de Meriti;159;340;499;15
3205002;Serra;3205309;Vitória;212;285;497;13
3170206;Uberlândia;3550308;São Paulo;202;284;486;551
3106200;Belo Horizonte;5300108;Brasília;132;351;483;623
3303500;Nova Iguaçu;3304557;Rio de Janeiro;201;275;476;26
3550308;São Paulo;3552809;Taboão da Serra;198;276;474;14
3521903;Itajobi;3545605;Santa Adélia;1;455;456;27
2304400;Fortaleza;2611606;Recife;175;269;444;623
5103403;Cuiabá;5108402;Várzea Grande;182;261;443;13
2304400;Fortaleza;2307650;Maracanaú;191;251;442;15
4313409;Novo Hamburgo;4314902;Porto Alegre;190;247;437;41
2611606;Recife;3304557;Rio de Janeiro;172;261;433;1828
3550308;São Paulo;5103403;Cuiabá;191;236;427;1371
3205309;Vitória;3304557;Rio de Janeiro;183;244;427;419
1500800;Ananindeua;1501402;Belém;174;247;421;7
2910800;Feira de Santana;2927408;Salvador;170;249;419;94
3550308;São Paulo;4202404;Blumenau;165;246;411;436
3205002;Serra;3550308;São Paulo;188;220;408;749
3550308;São Paulo;4209102;Joinville;184;224;408;364
3538709;Piracicaba;3550308;São Paulo;175;225;400;142
3550308;São Paulo;4115200;Maringá;172;227;399;540
3118601;Contagem;3550308;São Paulo;167;231;398;488
3304557;Rio de Janeiro;3304904;São Gonçalo;162;229;391;23
3304557;Rio de Janeiro;3534401;Osasco;62;328;390;367
3547809;Santo André;3548708;São Bernardo do Campo;174;211;385;9
2403251;Parnamirim;2408102;Natal;148;226;374;11
3550308;São Paulo;4305108;Caxias do Sul;155;217;372;746
1501402;Belém;3550308;São Paulo;148;224;372;2470
4106902;Curitiba;4113700;Londrina;155;214;369;305
3303302;Niterói;3304904;São Gonçalo;155;211;366;11
4106902;Curitiba;4209102;Joinville;158;204;362;103
3304557;Rio de Janeiro;3518800;Guarulhos;156;204;360;342
2609600;Olinda;2611606;Recife;149;202;351;14
4113700;Londrina;4115200;Maringá;154;192;346;81
2304400;Fortaleza;3304557;Rio de Janeiro;128;212;340;2164
4106902;Curitiba;4115200;Maringá;141;184;325;351
3106200;Belo Horizonte;3106705;Betim;141;178;319;23
4314902;Porto Alegre;5300108;Brasília;55;262;317;1619
2408102;Natal;3550308;São Paulo;124;192;316;2265
2611606;Recife;2927408;Salvador;132;179;311;659
3529401;Mauá;3550308;São Paulo;140;169;309;19
4106902;Curitiba;5300108;Brasília;58;250;308;1076
2111300;São Luís;3550308;São Paulo;126;178;304;2348
3301702;Duque de Caxias;3550308;São Paulo;124;178;302;353
1302603;Manaus;3304557;Rio de Janeiro;129;171;300;2738
3550308;São Paulo;3554102;Taubaté;121;177;298;132
3518701;Guarujá;3550308;São Paulo;118;180;298;51
3303302;Niterói;3550308;São Paulo;106;190;296;371
4314902;Porto Alegre;4318705;São Leopoldo;115;179;294;33
2504009;Campina Grande;2507507;João Pessoa;131;160;291;115
3541406;Presidente Prudente;3550308;São Paulo;123;167;290;510
4106902;Curitiba;4119905;Ponta Grossa;124;164;288;95
3550308;São Paulo;3552502;Suzano;129;155;284;37
2507507;João Pessoa;2611606;Recife;112;168;280;103
2927408;Salvador;5300108;Brasília;53;226;279;1053
2704302;Maceió;3550308;São Paulo;122;156;278;1884
4303103;Cachoeirinha;4314902;Porto Alegre;120;158;278;14
3303906;Petrópolis;3304557;Rio de Janeiro;112;164;276;39
3548906;São Carlos;3550308;São Paulo;121;154;275;220
3304557;Rio de Janeiro;3509502;Campinas;116;159;275;389
4105508;Cianorte;4115200;Maringá;125;148;273;73
4106902;Curitiba;4119152;Pinhais;129;143;272;10
4105805;Colombo;4106902;Curitiba;116;153;269;21
4202008;Balneário Camboriú;4208203;Itajaí;127;138;265;9
5201108;Anápolis;5208707;Goiânia;116;149;265;55
4309209;Gravataí;4314902;Porto Alegre;116;147;263;24
2304400;Fortaleza;2408102;Natal;104;155;259;429
4211900;Palhoça;4216602;São José;117;137;254;9
3541000;Praia Grande;3550308;São Paulo;99;155;254;47
3201308;Cariacica;3205309;Vitória;110;142;252;14
3304557;Rio de Janeiro;3305505;Saquarema;114;137;251;82
4205407;Florianópolis;4314902;Porto Alegre;101;150;251;374
3548500;Santos;3551009;São Vicente;115;135;250;12
2304400;Fortaleza;2307304;Juazeiro do Norte;101;146;247;392
3170107;Uberaba;3170206;Uberlândia;116;129;245;100
3501608;Americana;3550308;São Paulo;108;137;245;123
2408003;Mossoró;2408102;Natal;110;134;244;243
2304400;Fortaleza;5300108;Brasília;55;189;244;1656
4314407;Pelotas;4314902;Porto Alegre;96;146;242;218
2604106;Caruaru;2611606;Recife;105;136;241;119
3550308;São Paulo;4125506;São José dos Pinhais;112;127;239;328
3539806;Poá;3550308;São Paulo;111;128;239;34
